# Copyright (C) 2025  Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Altera and sold by Altera or its authorized distributors.  Please
# refer to the Altera Software License Subscription Agreements 
# on the Quartus Prime software download page.

# Quartus Prime Version 25.1std.0 Build 1129 10/21/2025 SC Standard Edition
# File: C:\Users\phmqngvu\Downloads\de10_pin_assignments.csv
# Generated on: Mon Apr 20 15:55:23 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
<<new node>>,,,,,,,,,,,,,,,,,,,
HPS_LCM_SPIM_SS,Unknown,PIN_H20,7A,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_LCM_SPIM_MOSI,Unknown,PIN_C22,7A,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_LCM_SPIM_CLK,Unknown,PIN_A23,7A,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_LCM_RST_N,Unknown,PIN_E17,7C,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_LCM_D_C,Unknown,PIN_C18,7C,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_SPIM_SS,Unknown,PIN_D24,7A,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_SPIM_MOSI,Unknown,PIN_D22,7A,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_SPIM_MISO,Unknown,PIN_E24,7A,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_SPIM_CLK,Unknown,PIN_C23,7A,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_LTC_GPIO,Unknown,PIN_H17,7C,B7A7B7C7D_N0,,,,,,,,,,,,,,,
